,Model,Accuracy,Precision,Recall,F1
1,1.0,0.8490121813901116,0.747716894977169,0.5591122492530943,0.6398046398046399
2,2.0,0.8432797625140751,0.7278338945005611,0.5535638070849338,0.6288484848484849
3,3.0,0.8481932644078206,0.7375690607734806,0.5697823303457106,0.6429087406693955
4,4.0,0.8473743474255298,0.7655860349127181,0.5241143832693128,0.6222447428426652
5,5.0,0.8456341488381616,0.7302813017098732,0.5650874946649594,0.6371511068334937
6,6.0,0.8456341488381616,0.7381631488876212,0.5522833973538199,0.6318359375
7,7.0,0.8482956290306071,0.7377139701822197,0.5702091335894153,0.6432354357246028
8,8.0,0.7647660968369332,1.0,0.019206145966709345,0.03768844221105527
9,9.0,0.8499334629951889,0.7495731360273193,0.5620998719590269,0.6424390243902439
10,10.0,0.8497287337496161,0.7392017495899399,0.5770379854886897,0.6481303930968361
11,11.0,0.8492169106356843,0.7333690987124464,0.5834400341442595,0.6498692655098646
12,12.0,0.8450199611014434,0.7155486219448778,0.5872812633376013,0.6451007969995312
13,13.0,0.7601596888115467,0.0,0.0,0.0
14,14.0,0.847169618179957,0.7304772234273319,0.5749039692701664,0.6434201098638643
15,15.0,0.8267990582454704,0.7079872204472843,0.4728979940247546,0.5670419651995905
16,16.0,0.8474767120483161,0.7316675719717545,0.5749039692701664,0.6438814531548755
17,17.0,0.8397993653393387,0.7274853801169591,0.5309432351685873,0.61386627189736
18,18.0,0.7601596888115467,0.0,0.0,0.0
19,19.0,0.8470672535571706,0.7057682985942801,0.6214255228339736,0.660916931457104
20,20.0,0.8510594738458389,0.75635103926097,0.5591122492530943,0.6429447852760736
21,21.0,0.8521854846964889,0.7493067110371603,0.5766111822449851,0.6517124939700917
22,22.0,0.8529020370559934,0.7550675675675675,0.5723431498079385,0.651128914785142
23,23.0,0.8542327771522162,0.7669959325973271,0.5633802816901409,0.6496062992125984
24,24.0,0.8498310983724024,0.7576470588235295,0.549722577891592,0.6371506307197625
25,25.0,0.8423584809089979,0.6811005863779883,0.6444728979940247,0.6622807017543859
26,26.0,0.8479885351622479,0.7445838084378563,0.5574050362782758,0.6375396631681718
27,27.0,0.8535162247927116,0.759090909090909,0.5702091335894153,0.6512308067267852
